Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
195,HWAV_EALS,Heat Wave - Expected Annual Loss Score,Double,8,Heat Wave,Expected Annual Loss Score,1.19.0,Mar-23
196,HWAV_EALR,Heat Wave - Expected Annual Loss Rating,String,50,Heat Wave,Expected Annual Loss Rating,1.19.0,Mar-23
197,HWAV_ALRB,Heat Wave - Expected Annual Loss Rate - Building,Double,8,Heat Wave,Expected Annual Loss Rate - Building,1.19.0,Mar-23
198,HWAV_ALRP,Heat Wave - Expected Annual Loss Rate - Population,Double,8,Heat Wave,Expected Annual Loss Rate - Population,1.19.0,Mar-23
199,HWAV_ALRA,Heat Wave - Expected Annual Loss Rate - Agriculture,Double,8,Heat Wave,Expected Annual Loss Rate - Agriculture,1.19.0,Mar-23
200,HWAV_ALR_NPCTL,Heat Wave - Expected Annual Loss Rate - National Percentile,Double,8,Heat Wave,National Percentile,1.19.0,Mar-23
201,HWAV_RISKV,Heat Wave - Hazard Type Risk Index Value,Double,8,Heat Wave,Hazard Type Risk Index Value,1.19.0,Mar-23
202,HWAV_RISKS,Heat Wave - Hazard Type Risk Index Score,Double,8,Heat Wave,Hazard Type Risk Index Score,1.19.0,Mar-23
203,HWAV_RISKR,Heat Wave - Hazard Type Risk Index Rating,String,50,Heat Wave,Hazard Type Risk Index Rating,1.19.0,Mar-23
204,HRCN_EVNTS,Hurricane - Number of Events,Double,8,Hurricane,Number of Events,1.19.0,Mar-23
205,HRCN_AFREQ,Hurricane - Annualized Frequency,Double,8,Hurricane,Annualized Frequency,1.19.0,Mar-23
206,HRCN_EXPB,Hurricane - Exposure - Building Value,Double,8,Hurricane,Exposure - Building Value,1.19.0,Mar-23
207,HRCN_EXPP,Hurricane - Exposure - Population,Double,8,Hurricane,Exposure - Population,1.19.0,Mar-23
208,HRCN_EXPPE,Hurricane - Exposure - Population Equivalence,Double,8,Hurricane,Exposure - Population Equivalence,1.19.0,Mar-23
209,HRCN_EXPA,Hurricane - Exposure - Agriculture Value,Double,8,Hurricane,Exposure - Agriculture Value,1.19.0,Mar-23
210,HRCN_EXPT,Hurricane - Exposure - Total,Double,8,Hurricane,Exposure - Total,1.19.0,Mar-23
211,HRCN_EXP_AREA,Hurricane - Exposure - Impacted Area (sq mi),Double,8,Hurricane,Exposure - Area,1.19.0,Mar-23
212,HRCN_HLRB,Hurricane - Historic Loss Ratio - Buildings,Double,8,Hurricane,Historic Loss Ratio - Buildings,1.19.0,Mar-23
213,HRCN_HLRP,Hurricane - Historic Loss Ratio - Population,Double,8,Hurricane,Historic Loss Ratio - Population,1.19.0,Mar-23
214,HRCN_HLRA,Hurricane - Historic Loss Ratio - Agriculture,Double,8,Hurricane,Historic Loss Ratio - Agriculture,1.19.0,Mar-23
215,HRCN_HLRR,Hurricane - Historic Loss Ratio - Total Rating,String,50,Hurricane,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
216,HRCN_EALB,Hurricane - Expected Annual Loss - Building Value,Double,8,Hurricane,Expected Annual Loss - Building Value,1.19.0,Mar-23
217,HRCN_EALP,Hurricane - Expected Annual Loss - Population,Double,8,Hurricane,Expected Annual Loss - Population,1.19.0,Mar-23
218,HRCN_EALPE,Hurricane - Expected Annual Loss - Population Equivalence,Double,8,Hurricane,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
219,HRCN_EALA,Hurricane - Expected Annual Loss - Agriculture Value,Double,8,Hurricane,Expected Annual Loss - Agriculture Value,1.19.0,Mar-23
220,HRCN_EALT,Hurricane - Expected Annual Loss - Total,Double,8,Hurricane,Expected Annual Loss - Total,1.19.0,Mar-23
221,HRCN_EALS,Hurricane - Expected Annual Loss Score,Double,8,Hurricane,Expected Annual Loss Score,1.19.0,Mar-23
222,HRCN_EALR,Hurricane - Expected Annual Loss Rating,String,50,Hurricane,Expected Annual Loss Rating,1.19.0,Mar-23
223,HRCN_ALRB,Hurricane - Expected Annual Loss Rate - Building,Double,8,Hurricane,Expected Annual Loss Rate - Building,1.19.0,Mar-23
224,HRCN_ALRP,Hurricane - Expected Annual Loss Rate - Population,Double,8,Hurricane,Expected Annual Loss Rate - Population,1.19.0,Mar-23
225,HRCN_ALRA,Hurricane - Expected Annual Loss Rate - Agriculture,Double,8,Hurricane,Expected Annual Loss Rate - Agriculture,1.19.0,Mar-23
226,HRCN_ALR_NPCTL,Hurricane - Expected Annual Loss Rate - National Percentile,Double,8,Hurricane,National Percentile,1.19.0,Mar-23
227,HRCN_RISKV,Hurricane - Hazard Type Risk Index Value,Double,8,Hurricane,Hazard Type Risk Index Value,1.19.0,Mar-23
228,HRCN_RISKS,Hurricane - Hazard Type Risk Index Score,Double,8,Hurricane,Hazard Type Risk Index Score,1.19.0,Mar-23
229,HRCN_RISKR,Hurricane - Hazard Type Risk Index Rating,String,50,Hurricane,Hazard Type Risk Index Rating,1.19.0,Mar-23
230,ISTM_EVNTS,Ice Storm - Number of Events,Double,8,Ice Storm,Number of Events,1.19.0,Mar-23
231,ISTM_AFREQ,Ice Storm - Annualized Frequency,Double,8,Ice Storm,Annualized Frequency,1.19.0,Mar-23
232,ISTM_EXPB,Ice Storm - Exposure - Building Value,Double,8,Ice Storm,Exposure - Building Value,1.19.0,Mar-23
233,ISTM_EXPP,Ice Storm - Exposure - Population,Double,8,Ice Storm,Exposure - Population,1.19.0,Mar-23
